book_author,book_link,book_title,file_type_size,language,rate_interest,rate_quality,year
George Mount,https://tr.eg1lib.org/book/16973283/785f05,Advancing into Analytics: From Excel to Python and R,"PDF, 9.48 MB",english,5.0,5.0,2021
[美] Micha Gorelick 戈雷利克 Ian Ozsvald 欧日沃尔德,https://tr.eg1lib.org/book/12790504/27bcfa,Python高性能编程【文字版】,"PDF, 17.05 MB",chinese,0,5.0,2021
Micha Gorelick,https://tr.eg1lib.org/book/2383471/4dfd2c,High Performance Python: Practical Performant Programming for Humans,"PDF, 7.60 MB",english,0,0,2014
Adrian Rosebrock,https://tr.eg1lib.org/book/3561346/c4e0b8,"Deep Learning for Computer Vision with Python, Volume 2","PDF, 9.53 MB",english,5.0,0,2017
Valentina Porcu,https://tr.eg1lib.org/book/3646646/87b3f8,Python for Data Mining Quick Syntax Reference,"PDF, 4.47 MB",english,5.0,0,2019
Manish Sethi,https://tr.eg1lib.org/book/3410707/cbdf11,"Cloud Native Python: Build and deploy resilent applications on the cloud using microservices, AWS, Azure and more","PDF, 40.74 MB",english,0,0,2017
Dr. Alun Brain,https://tr.eg1lib.org/book/5566414/65a7a4,Statistical analysis in Excel and Python,"PDF, 27.34 MB",english,0,0,2020
Christian Mayer,https://tr.eg1lib.org/book/3705310/833bb4,Coffee Break Python: 50 Workouts to Kickstart Your Rapid Code Understanding in Python,"PDF, 2.32 MB",english,0,0,2018
Martin Fitzpatrick,https://tr.eg1lib.org/book/5773571/fb5ebd,Create GUI Applications with Python & Qt5 - PySide2 Edition,"PDF, 11.42 MB",english,0,0,2020
Raul Gonzalez Duque,https://tr.eg1lib.org/book/842117/fdf1c3,Python para todos,"PDF, 1.22 MB",spanish,5.0,0,
Mark Fenner,https://tr.eg1lib.org/book/5007915/54c730,Machine Learning with Python for Everyone,"EPUB, 15.55 MB",english,0,0,2019
James Herron [Herron,https://tr.eg1lib.org/book/11307574/567573,Learn Python Programming: The Comprehensive Guide to Learn and Apply Python by learning coding best practices and advanced programming concepts.,"PDF, 1.22 MB",english,1.0,0,2021
Leonard Apeltsin,https://tr.eg1lib.org/book/17992715/4a0492,Data Science Bookcamp: Five real-world Python projects (Final Release),"PDF, 42.41 MB",english,4.0,5.0,2021
Marc Wintjen,https://tr.eg1lib.org/book/5603706/fcc9b5,Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,"PDF, 7.72 MB",english,0,5.0,2020
Hemant Jain,https://tr.eg1lib.org/book/5357896/f018ed,Problem Solving in Data Structures & Algorithms Using Python: Programming Interview Guide,"PDF, 4.54 MB",english,0,4.0,2017
Luciano Ramalho,https://tr.eg1lib.org/book/5433175/d73cf7,Fluent Python,"EPUB, 4.91 MB",english,2.0,0,2020
David Paper,https://tr.eg1lib.org/book/5301382/1f3e22,Hands-on Scikit-Learn for Machine Learning Applications: Data Science Fundamentals with Python,"PDF, 3.17 MB",english,0,0,2020
Roy Jafari,https://tr.eg1lib.org/book/18816724/65b9d2,Hands-On Data Preprocessing in Python: Learn how to effectively prepare data for successful data analytics (Final Release),"PDF, 48.48 MB",english,4.0,0,2022
Ben G Weber,https://tr.eg1lib.org/book/5477689/920097,Data Science in Production: Building Scalable Model Pipelines with Python,"PDF, 2.64 MB",english,0,5.0,2020
Jon Rulta,https://tr.eg1lib.org/book/11317295/91c258,Python True Book,"PDF, 8.84 MB",english,3.5,0,2021
Sean McManus,https://tr.eg1lib.org/book/3704523/926360,Mission Python: Code a Space Adventure Game!,"EPUB, 27.86 MB",english,0,0,2018
Harry J.W. Percival,https://tr.eg1lib.org/book/16853155/9e782f,"Architecture Patterns with Python: Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices","PDF, 9.94 MB",english,0,1.5,2021
Sridhar Alla,https://tr.eg1lib.org/book/5397972/18e719,Beginning Anomaly Detection Using Python-Based Deep Learning: With Keras and PyTorch,"PDF, 26.55 MB",english,0,5.0,2019
Bastian Ballmann,https://tr.eg1lib.org/book/11633454/378136,Understanding Network Hacks: Attack and Defense with Python 3,"PDF, 3.23 MB",english,0,0,2021
Gilles Degols,https://tr.eg1lib.org/book/3689449/0c74ed,Apprendre la programmation web avec Python & Django: Principes et bonnes pratiques pour les sites web dynamiques,"PDF, 20.54 MB",french,4.0,0,2018
Lazy Programmer,https://tr.eg1lib.org/book/2740844/f55b69,"Unsupervised Machine Learning in Python: Master Data Science and Machine Learning with Cluster Analysis, Gaussian Mixture Models, and Principal Components Analysis","EPUB, 1.28 MB",english,0,0,2016
Bhargav Srinivasa-Desikan [Bhargav Srinivasa-Desikan],https://tr.eg1lib.org/book/3629130/efe8d5,"Natural Language Processing and Computational Linguistics: A Practical Guide to Text Analysis With Python, Gensim, spaCy, and Keras","EPUB, 1.41 MB",english,0,0,2018
Simon Weber,https://tr.eg1lib.org/book/5573019/1c6874,Python Programming for Kids: Beginners Guide with Easy to Learn Activities to Unlock the Adventurous World of Python Programming,"PDF, 1.76 MB",english,0,0,2020
Qingkai Kong,https://tr.eg1lib.org/book/11070953/120a62,Python Programming and Numerical Methods. A Guide for Engineers and Scientists,"PDF, 3.55 MB",english,5.0,5.0,2021
Brendan Scott,https://tr.eg1lib.org/book/5406979/ec272a,Python For Kids For Dummies,"EPUB, 4.42 MB",english,0,0,2018
Giancarlo Zaccone,https://tr.eg1lib.org/book/5291163/9e0fcf,Python Parallel Programming Cookbook: Over 70 recipes to solve challenges in multithreading and distributed system with Python 3,"PDF, 6.27 MB",english,0,0,2019
Sudharsan Ravichandiran,https://tr.eg1lib.org/book/3695207/5a2496,Hands-On Reinforcement Learning with Python: Master reinforcement and deep reinforcement learning using OpenAI Gym and TensorFlow,"EPUB, 8.76 MB",english,0,0,2018
Lentin Joseph,https://tr.eg1lib.org/book/2736942/de392b,"Learning Robotics Using Python: Design, simulate, program, and prototype an interactive autonomous mobile robot from scratch with the help of Python, ROS, and Open-CV!","PDF, 8.25 MB",english,5.0,0,2015
PRATEEK GUPTA,https://tr.eg1lib.org/book/17356556/1c9ad0,"Practical Data Science with Jupyter: Explore Data Cleaning, Pre-processing, Data Wrangling, Feature Engineering and Machine Learning using Python and Jupyter (English Edition)","PDF, 19.48 MB",english,5.0,1.0,2021
[印] Hemant Kumar Mehta 著；陶俊杰,https://tr.eg1lib.org/book/5458041/430d20,Python科学计算基础教程,"PDF, 11.20 MB",chinese,0,5.0,2016
Prateek Joshi,https://tr.eg1lib.org/book/3057698/1d199b,OpenCV with Python By Example: Build real-world computer vision applications and develop cool demos using OpenCV for Python,"PDF, 13.30 MB",english,4.5,5.0,2015
Siddhartha Chatterjee,https://tr.eg1lib.org/book/3598356/4eb6a4,"Python Social Media Analytics: Analyze and visualize data from Twitter, Youtube, GitHub, and more","PDF, 12.40 MB",english,4.0,0,2017
Burkhard A. Meier,https://tr.eg1lib.org/book/3602487/0d4b0b,Python GUI Programming Cookbook,"PDF, 7.60 MB",english,0,0,2017
