book_author,book_link,book_title,file_type_size,language,rate_interest,rate_quality,year
Lentin Joseph,https://tr.eg1lib.org/book/3706041/d2c4f2,"Learning Robotics using Python: Design, simulate, program, and prototype an autonomous mobile robot using ROS, OpenCV, PCL, and Python","PDF, 18.75 MB",english,5.0,5.0,2018
Connor P. Milliken,https://tr.eg1lib.org/book/5397996/6aa85e,Python Projects for Beginners: A Ten-Week Bootcamp Approach to Python Programming,"PDF, 3.85 MB",english,3.0,0,2020
Mark E. Fenner,https://tr.eg1lib.org/book/5517615/dfeda2,Machine Learning With Python For Everyone,"PDF, 9.00 MB",english,0,0,2020
Justin Seitz,https://tr.eg1lib.org/book/610566/04930f,Gray Hat Python: Python Programming for Hackers and Reverse Engineers,"PDF, 3.04 MB",english,0,0,2009
Zed A. Shaw,https://tr.eg1lib.org/book/3367049/66fb4a,Learn More Python 3 the Hard Way: The Next Step for New Python Programmers,"PDF, 2.61 MB",english,5.0,5.0,2017
Francois Chollet,https://tr.eg1lib.org/book/5326804/8eece9,Python深度学习,"PDF, 18.90 MB",chinese,5.0,5.0,2018
Imran Ahmad,https://tr.eg1lib.org/book/5591990/35cee0,40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learning different algorithms and their implementation in Python,"PDF, 19.58 MB",english,5.0,5.0,2020
关东升 [关东升],https://tr.eg1lib.org/book/13567017/3332df,看漫画学Python：有趣、有料、好玩、好用：全彩版,"PDF, 81.73 MB",chinese,5.0,0,2020
Bob Gregory,https://tr.eg1lib.org/book/5416700/4e72c9,"Architecture Patterns with Python: Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices","EPUB, 6.81 MB",english,5.0,5.0,2020
Shayne Fletcher,https://tr.eg1lib.org/book/946844/b1b9a8,Financial Modelling in Python (The Wiley Finance Series),"PDF, 3.71 MB",english,4.5,0,2009
Jason Brownlee,https://tr.eg1lib.org/book/5206515/11b07b,"Machine Learning Mastery with Python: Understand Your Data, Create Accurate Models and Work Projects End-To-End","PDF, 2.39 MB",english,5.0,0,2016
Al Sweigart,https://tr.eg1lib.org/book/11253983/309e38,Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code,"PDF, 7.61 MB",english,5.0,5.0,2020
Bradley N. Miller,https://tr.eg1lib.org/book/11103536/7e163a,Python数据结构与算法分析（第2版）,"PDF, 10.32 MB",chinese,5.0,5.0,2019
Seppe vanden Broucke,https://tr.eg1lib.org/book/3504110/25c7a7,Practical Web Scraping for Data Science: Best Practices and Examples with Python,"PDF, 4.79 MB",english,4.0,5.0,2018
Brett Slatkin,https://tr.eg1lib.org/book/5502141/a6ddbc,Effective Python: 90 Specific Ways to Write Better Python,"PDF, 12.21 MB",english,5.0,5.0,2020
Eryk Lewinson,https://tr.eg1lib.org/book/5396066/b413f1,Python for Finance Cookbook: Over 50 recipes for applying modern Python libraries to quantitative finance to analyze data,"PDF, 32.81 MB",english,5.0,5.0,2020
Joel Grus,https://tr.eg1lib.org/book/11421680/6714b4,Data Science from Scratch: First Principles with Python,"PDF, 10.77 MB",english,4.5,3.5,2019
Adnan Aziz,https://tr.eg1lib.org/book/3599068/9857c8,Elements of Programming Interviews in Python: The Insiders’ Guide,"PDF, 235.38 MB",english,5.0,3.0,2016
Avishek Pal,https://tr.eg1lib.org/book/3413340/2eb247,"Practical time series analysis: master time series data processing, visualization, and modeling using Python","PDF, 11.80 MB",english,0,0,2017
William S. Vincent,https://tr.eg1lib.org/book/5288427/a89fa8,Django for Professionals: Production Websites with Python & Django,"PDF, 12.54 MB",english,4.0,0,2019
Jason Brownlee,https://tr.eg1lib.org/book/3647669/1bab65,Deep Learning with Python: Develop Deep Learning Models on Theano and TensorFLow Using Keras,"PDF, 4.64 MB",english,5.0,4.0,2016
